company_name,company_pic,company_address,company_phone,company_email,training_name,training_category,training_type,company_field,company_size,training_price,training_session,number_of_participants,trainer_name,communication_channel,purchasing_time_patterns,payment_total,payment_method,durations,training_dates,ratings,feedbacks,sales_pipeline,sales_person
UD Sitompul (Persero) Tbk,Sutan Hendri Saputra,"Jl. Cempaka No. 729
Sungai Penuh, SN 71622",089 638 0982,zharyanto@example.com,Transformasi Budaya & Manajemen Agen Perubahan,Finance,Public Training,Manufaktur,Menengah,1940262,11,90,Anita Waluyo,SMS,Hari Spesifik,174623580,E-Wallet,18,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",7,Bagus,L3,Tirtayasa Hutagalung
UD Handayani Wulandari,Jarwi Mahendra,"Jalan Yos Sudarso No. 19
Lubuklinggau, Sulawesi Tengah 91068",+62-53-545-1148,napitupulujaeman@example.com,"How to Recruit, Interview, Select & Place the Right Employee",Credit & Collection,Online Training,Pendidikan,Kecil,1821670,5,45,Teddy Dabukke,Linkedin,Hari Spesifik,81975150,ATM,29,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",3,Buruk,L1,Ulva Winarno
CV Widiastuti,Lintang Samosir,"Jalan Dr. Djunjunan No. 55
Banjarmasin, SG 16236",+62 (026) 825 5790,karyapradana@example.com,Legal Drafting to Prevent and Anticipate Business Conflict & Dispute,Leadership & Managerial,Public Training,Pendidikan,Menengah,1940417,8,112,R.A. Gasti Kurniawan,Email,Musiman,217326704,ATM,26,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L2,Banara Pertiwi
CV Mandasari,Syahrini Melani,"Gg. Laswi No. 82
Purwokerto, BE 12681",(090) 817-8381,pramadan@example.org,Teknik Penjualan Aset Kredit Bermasalah,Sales & Marketing,Online Training,Transportasi dan Logistik,Besar,2070555,12,139,"Dr. Nurul Tampubolon, S.E.",Instagram,Bulan,287807145,E-Wallet,21,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L2,"Opan Iswahyudi, M.TI."
CV Anggriawan,Gilda Aryani,"Gg. Monginsidi No. 1
Bogor, Papua 29690",(0152) 808-6577,prasetyavirman@example.net,Survive & Growth in Post Covid-19 for Consumer Good Industry,Credit & Collection,Online Training,Telekomunikasi,Menengah,2338995,11,103,Dian Maheswara,SMS,Diskon,240916485,E-Wallet,13,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",6,Cukup Bagus,L2,Wisnu Saefullah
PT Waskita Hutagalung Tbk,Tgk. Alika Wijaya,"Jalan M.H Thamrin No. 445
Balikpapan, Kalimantan Utara 22005",(095) 214-3718,mustofagandewa@example.net,Simple Methode of Corporate Tax Calculation PPN-PPH,Office & Administration,Public Training,Acara dan Hiburan,Menengah,1682271,12,103,Edison Waskita,Linkedin,Bulan,173273913,E-Wallet,13,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L2,Gangsar Siregar
Perum Purnawati Suwarno Tbk,Hj. Chelsea Safitri,"Jalan Medokan Ayu No. 45
Sungai Penuh, LA 42146",+62 (0229) 061-3252,mahmudkusumo@example.net,Creative Leadership & Management for Better Result,Credit & Collection,Online Training,Retail,Kecil,1833721,4,44,Prayogo Purwanti,SMS,Diskon,80683724,ATM,9,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L1,Vera Nasyiah
UD Pratiwi Kusumo,Kiandra Januar,"Gang H.J Maemunah No. 76
Metro, BB 28802",+62-96-886-2889,purwantinyoman@example.net,Professional Tenant & Property Management,Leadership & Managerial,Public Training,Manufaktur,Menengah,1730851,10,113,"Dt. Kenari Jailani, M.Farm",SMS,Peristiwa Khusus,195586163,E-Wallet,8,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",6,Cukup Bagus,L2,KH. Harimurti Pangestu
PD Haryanti Wastuti,Dt. Mahesa Palastri,"Gang Pasirkoja No. 687
Parepare, SS 49457",+62 (939) 710-9805,gabriella30@example.net,Anticipating & Preventing Technique Of Money Laundering,Finance,Public Training,Manufaktur,Menengah,1939292,9,108,Titi Winarno,Telegram,Peristiwa Khusus,209443536,E-Wallet,23,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L2,"T. Heryanto Purnawati, S.Farm"
Perum Saptono Namaga Tbk,Asmuni Utama,"Gg. Astana Anyar No. 310
Sawahlunto, SN 71183",+62-024-729-1912,bpangestu@example.com,Transformasi Budaya & Manajemen Agen Perubahan,Finance,Public Training,Keuangan,Menengah,2061372,8,99,Reksa Sirait,Telegram,Bulan,204075828,Tunai,18,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",7,Bagus,L3,"Yani Novitasari, S.H."
UD Yuniar Anggraini,Cici Puspita,"Jalan Tubagus Ismail No. 37
Mojokerto, Sumatera Barat 05014",+62 (0516) 171 6802,cahyadi37@example.net,Communication Skills in Project Management,Leadership & Managerial,Public Training,Teknologi,Kecil,2260653,5,50,"drg. Raisa Saputra, M.Kom.",WA,Diskon,113032650,M-Banking,21,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",3,Buruk,L1,Garan Haryanti
PT Prastuti,Estiono Prasasta,"Jalan Tebet Barat Dalam No. 602
Pangkalpinang, SU 71744",+62 (983) 948-2637,daryani33@example.org,Keterampilan Komunikasi Dalam Rapat Dan Diskusi,Leadership & Managerial,Public Training,Pendidikan,Menengah,1884727,10,110,Chelsea Budiyanto,Linkedin,Hari Spesifik,207319970,E-Wallet,21,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",3,Buruk,L2,Sari Pudjiastuti
Perum Hastuti Budiyanto,Xanana Nasyiah,"Jl. Dipatiukur No. 355
Denpasar, Kalimantan Utara 28614",+62-069-316-5513,lembahwibisono@example.net,Protokoler & Master of Ceremony era Digital & New Normal,Credit & Collection,Online Training,Kesehatan,Besar,2517820,16,156,Elma Anggriawan,Linkedin,Musiman,392779920,Tunai,3,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",3,Buruk,L2,KH. Harimurti Pangestu
UD Mardhiyah (Persero) Tbk,Dr. Puji Novitasari,"Jalan Yos Sudarso No. 7
Serang, Nusa Tenggara Barat 56173",(0644) 923-9980,michelle54@example.com,"Antisipasi Pemalsuan Dokumen, Tanda Tangan, dan Mafia Fraud",Sales & Marketing,Online Training,Transportasi dan Logistik,Menengah,2114073,8,85,Kamal Oktaviani,Email,Bulan,179696205,ATM,29,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L2,Dr. Anastasia Susanti
UD Irawan Mansur,Elvina Rajasa,"Gg. Wonoayu No. 8
Binjai, KB 16738",+62 (921) 365 8291,lasmonowasita@example.org,"Perencanaan, Audit & Analisa Kebutuhan Keuangan Perusahaan",Office & Administration,Public Training,Acara dan Hiburan,Kecil,1917112,5,49,"drg. Asman Lazuardi, M.M.",SMS,Hari Spesifik,93938488,M-Banking,29,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",9,Bagus,L2,Garda Wastuti
CV Nasyiah (Persero) Tbk,Ir. Lasmanto Hartati,"Gg. M.H Thamrin No. 8
Tasikmalaya, SR 71978",+62 (028) 248 1134,latuponojarwa@example.net,Restrukturisasi Kredit for SME Lending (Mortgage based),HR & Training,Public Training,Properti dan Real Estat,Besar,2102829,16,162,R. Embuh Maulana,Telegram,Peristiwa Khusus,340658298,E-Wallet,9,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",3,Buruk,L2,Langgeng Hasanah
UD Nababan Pranowo,Ir. Artanto Maheswara,"Gang Rumah Sakit No. 9
Pekanbaru, KS 57073",+62-659-500-7692,unuraini@example.com,Anticipating & Preventing Technique Of Money Laundering,Finance,Public Training,Pariwisata dan Perhotelan,Besar,2317503,12,153,Septi Lestari,Facebook,Musiman,354577959,M-Banking,11,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L3,Ellis Ramadan
PT Lestari,Kasusra Nababan,"Gg. Abdul Muis No. 2
Kediri, Jawa Timur 55352",0834115597,tinasihotang@example.net,Powerful Database Analysis & Dashbord Reporting with Excel,Credit & Collection,Online Training,Pendidikan,Kecil,1853589,5,43,"Ir. Farhunnisa Safitri, S.H.",Instagram,Bulan,79704327,E-Wallet,16,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L1,Winda Salahudin
UD Natsir Kusmawati,Mujur Iswahyudi,"Gang Veteran No. 65
Batu, MU 51466",+62 (729) 714-1935,bagusdamanik@example.net,Succession Planning & Management,Leadership & Managerial,Public Training,Properti dan Real Estat,Besar,2058807,15,160,Martana Hutagalung,Telegram,Bulan,329409120,ATM,9,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L3,"Tgk. Gina Widiastuti, S.Psi"
UD Wulandari Hidayat Tbk,Cinta Zulkarnain,"Jl. Peta No. 623
Tidore Kepulauan, Bengkulu 75386",+62 (29) 093 3001,balijanmarbun@example.org,Advance RM training: RM sebagai Business Coach kepada Debiturnya. Phase 2: Business Coach Membuat Bisnis Debitur menjadi Level Korporat,Sales & Marketing,Online Training,Manufaktur,Menengah,1926196,12,103,R. Ajimin Maryadi,Telegram,Musiman,198398188,Tunai,9,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L2,"KH. Unggul Prasetyo, S.Farm"
CV Wasita Mandala Tbk,Cakrawangsa Fujiati,"Jalan Sentot Alibasa No. 330
Purwokerto, ST 06750",(0368) 310 9701,pratiwirespati@example.org,Interactive Dashboard with Microsoft Excel,Office & Administration,Public Training,Keuangan,Kecil,2293412,7,55,"drg. Sarah Jailani, S.I.Kom",Email,Musiman,126137660,Tunai,9,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",1,Buruk,L1,"Purwanto Susanti, M.M."
PT Simbolon,Mulyanto Suartini,"Gang Surapati No. 6
Tidore Kepulauan, Banten 42536",(0460) 534 4344,jefrinatsir@example.net,"Manajemen Emosi, Temperamen, Dan Kontrol Diri Untuk Service Excellent",Leadership & Managerial,Public Training,Transportasi dan Logistik,Menengah,1871581,11,84,Vinsen Utami,Instagram,Bulan,157212804,ATM,12,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L2,Ade Namaga
PD Nurdiyanti (Persero) Tbk,Raden Mulyani,"Gg. W.R. Supratman No. 7
Tidore Kepulauan, Kalimantan Timur 24724",+62-0206-123-3762,ynuraini@example.com,Managing Corporate Collection,HR & Training,Public Training,Retail,Kecil,1664927,6,42,Nilam Hassanah,Instagram,Musiman,69926934,E-Wallet,1,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",8,Bagus,L2,Adikara Waluyo
PT Winarno Kusmawati,Cahyo Uwais,"Gg. Wonoayu No. 90
Banjar, ST 76574",+62-67-870-6341,dmangunsong@example.com,Drill for Trainers: Mastering 10 Core Trainer’s Tools,Office & Administration,Public Training,Kesehatan,Menengah,2488814,12,104,Kunthara Prabowo,Facebook,Musiman,258836656,M-Banking,9,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",7,Bagus,L2,Purwa Sinaga
UD Pangestu Andriani (Persero) Tbk,Lutfan Sitompul,"Gg. W.R. Supratman No. 83
Sungai Penuh, MA 79830",(0652) 650 2893,widodochandra@example.org,Powerful Database Analysis & Dashbord Reporting with Excel,Credit & Collection,Online Training,Transportasi dan Logistik,Besar,2214446,15,120,Hairyanto Prasasta,WA,Bulan,265733520,E-Wallet,24,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",6,Cukup Bagus,L3,Ani Hakim
UD Suwarno,"R. Mahdi Januar, M.Ak","Gg. Suniaraja No. 7
Serang, Sumatera Selatan 97885",+62 (870) 620 7572,lhandayani@example.com,Teknik Penagihan Era Covid 19 & PJOK 11 (3/2020),Sales & Marketing,Online Training,Keuangan,Besar,2147033,16,165,Rahmi Wijayanti,Instagram,Musiman,354260445,Tunai,9,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L3,Dr. Damar Yolanda
CV Wibisono Sitompul (Persero) Tbk,Heru Gunarto,"Jl. Tubagus Ismail No. 522
Sungai Penuh, SR 68637",+62-050-946-7211,farhunnisaaryani@example.org,Collection Analytical Tools & MIS,HR & Training,Public Training,Telekomunikasi,Kecil,2154549,5,48,"Tira Usada, S.Sos",Facebook,Bulan,103418352,E-Wallet,29,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L1,Bahuwarna Nasyidah
UD Winarno,"Drs. Pia Wacana, S.I.Kom","Jalan Pacuan Kuda No. 608
Meulaboh, AC 78508",+62-49-910-7346,tsamosir@example.org,Mental & Workload Anaylisis in New Normal Era,Office & Administration,Public Training,Acara dan Hiburan,Kecil,1986984,4,50,Raina Sudiati,Telegram,Musiman,99349200,Tunai,15,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L1,Shania Iswahyudi
Perum Nashiruddin Simanjuntak,"Tgk. Rosman Prastuti, S.E.","Gang Otto Iskandardinata No. 457
Padang, Sumatera Barat 62383",(072) 247 8902,utamiwidya@example.net,"Business Acumen: Think, Sense & Act like CEO",Finance,Public Training,Retail,Kecil,1600471,4,44,Intan Hasanah,Instagram,Musiman,70420724,ATM,18,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",7,Bagus,L2,"Drs. Queen Nasyiah, S.Farm"
CV Zulkarnain Susanti (Persero) Tbk,Cengkir Salahudin,"Gang Suniaraja No. 153
Madiun, JI 88707",+62 (0186) 129-1523,gatra41@example.com,Microsoft Excel VBA (Macros) Complete Beginner,Leadership & Managerial,Public Training,Teknologi,Besar,2218941,18,156,"Zamira Rahmawati, M.Pd",Email,Bulan,346154796,M-Banking,23,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L3,Vega Winarno
PT Wijaya Uwais,Galar Padmasari,"Jl. Rawamangun No. 10
Gorontalo, Kalimantan Utara 94137",(032) 016-3481,uchitatampubolon@example.com,"Innovative, Sistematic & Lateral Thinking Skills for Leader",Credit & Collection,Online Training,Pariwisata dan Perhotelan,Kecil,2127228,4,47,Safina Puspita,Email,Musiman,99979716,M-Banking,5,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",7,Bagus,L2,Restu Budiyanto
UD Napitupulu (Persero) Tbk,Kadir Sitompul,"Gg. Otto Iskandardinata No. 14
Salatiga, DKI Jakarta 05878",+62 (0993) 413-3583,purwantitugiman@example.org,"Modern Presentation skills: Combining StoryTelling, Doodly, Storyline and Video-Sound Creation",Leadership & Managerial,Public Training,Teknologi,Besar,2423181,15,138,"Maimunah Firgantoro, S.E.",Email,Peristiwa Khusus,334398978,M-Banking,19,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L2,"Tgk. Gina Widiastuti, S.Psi"
UD Safitri,Jindra Nababan,"Jl. Kendalsari No. 254
Tanjungpinang, BA 44639",+62 (129) 826-0432,edimanullang@example.com,Risk Analysis: to Reduce Losses and Increase Profits,Credit & Collection,Online Training,Pendidikan,Besar,1910661,13,150,R. Hana Latupono,SMS,Hari Spesifik,286599150,M-Banking,22,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",6,Cukup Bagus,L3,Puti Paris Saputra
